id,target
0,1
1,1
2,1
3,1
4,0
5,0
6,1
7,0
8,1
9,1
10,0
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,0
80,0
81,1
82,1
83,1
84,1
85,0
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,0
108,1
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,0
123,1
124,0
125,0
126,1
127,0
128,1
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,1
149,0
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,1
163,0
164,0
165,1
166,1
167,0
168,1
169,1
170,0
171,0
172,1
173,1
174,1
175,0
176,0
177,0
178,1
179,0
180,1
181,0
182,1
183,1
184,1
185,1
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,0
200,0
201,1
202,1
203,1
204,0
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,0
218,1
219,1
220,1
221,0
222,0
223,1
224,0
225,1
226,1
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,1
235,0
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,0
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,1
256,0
257,0
258,1
259,0
260,0
261,1
262,1
263,1
264,1
265,1
266,0
267,0
268,0
269,1
270,1
271,1
272,0
273,1
274,1
275,0
276,1
277,1
278,1
279,0
280,0
281,1
282,1
283,0
284,0
285,1
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,0
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,0
310,0
311,1
312,1
313,0
314,1
315,1
316,1
317,0
318,0
319,1
320,0
321,0
322,1
323,0
324,1
325,0
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,1
334,0
335,1
336,0
337,1
338,1
339,1
340,0
341,1
342,0
343,1
344,1
345,0
346,1
347,1
348,0
349,1
350,0
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,0
359,1
360,1
361,0
362,1
363,1
364,0
365,0
366,0
367,1
368,1
369,1
370,1
371,0
372,0
373,1
374,1
375,1
376,1
377,0
378,1
379,0
380,0
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,0
389,1
390,1
391,1
392,0
393,0
394,1
395,1
396,1
397,0
398,1
399,0
400,1
401,1
402,1
403,1
404,1
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,1
443,1
444,0
445,1
446,0
447,1
448,1
449,1
450,0
451,0
452,1
453,1
454,0
455,0
456,1
457,1
458,0
459,1
460,1
461,0
462,1
463,1
464,0
465,1
466,0
467,1
468,1
469,0
470,0
471,1
472,0
473,1
474,0
475,1
476,0
477,1
478,1
479,0
480,1
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,1
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,1
512,0
513,1
514,1
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,1
526,1
527,0
528,1
529,0
530,1
531,1
532,0
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,0
541,1
542,0
543,0
544,1
545,1
546,1
547,0
548,1
549,0
550,1
551,0
552,0
553,1
554,1
555,1
556,1
557,1
558,0
559,0
560,0
561,1
562,1
563,1
564,1
565,1
566,1
567,0
568,0
569,1
570,1
571,1
572,0
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,0
597,1
598,0
599,1
600,0
601,1
602,1
603,1
604,1
605,0
606,0
607,1
608,1
609,1
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,0
622,1
623,1
624,1
625,1
626,0
627,1
628,0
629,1
630,1
631,1
632,0
633,1
634,1
635,1
636,1
637,0
638,1
639,1
640,0
641,1
642,0
643,1
644,1
645,0
646,1
647,0
648,1
649,0
650,1
651,1
652,1
653,0
654,1
655,0
656,0
657,0
658,1
659,1
660,1
661,1
662,0
663,1
664,1
665,1
666,0
667,0
668,1
669,1
670,0
671,0
672,0
673,1
674,1
675,0
676,0
677,0
678,1
679,0
680,1
681,0
682,1
683,1
684,0
685,0
686,0
687,1
688,0
689,1
690,1
691,1
692,1
693,1
694,0
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,0
705,1
706,1
707,0
708,1
709,0
710,1
711,1
712,0
713,0
714,1
715,0
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,0
724,1
725,1
726,1
727,0
728,1
729,0
730,0
731,1
732,1
733,1
734,0
735,0
736,0
737,1
738,1
739,1
740,1
741,1
742,1
743,0
744,0
745,1
746,0
747,1
748,0
749,1
750,1
751,0
752,1
753,1
754,0
755,1
756,0
757,0
758,0
759,0
760,0
761,1
762,1
763,0
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,0
772,1
773,1
774,0
775,0
776,1
777,0
778,1
779,1
780,0
781,1
782,0
783,0
784,0
785,1
786,1
787,1
788,0
789,0
790,1
791,1
792,1
793,1
794,1
795,0
796,0
797,0
798,1
799,1
800,0
801,0
802,1
803,0
804,0
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
