id,count
0,156.9
1,246.3
2,124.9
4,116.8
5,126.4
10,116.3
11,277.9
12,265.4
15,54.4
17,124.8
18,293.9
23,243.7
25,120.5
26,62.0
31,206.2
39,116.2
40,23.3
41,232.1
42,302.9
43,154.0
51,198.5
52,95.4
54,31.5
60,126.9
61,154.5
62,128.0
63,32.2
65,93.1
66,103.3
68,157.9
71,82.1
80,43.4
82,79.8
94,131.3
98,242.8
101,116.8
102,199.1
107,246.9
112,224.0
113,158.0
115,73.9
116,104.6
120,144.6
121,71.0
122,344.0
132,198.4
143,147.3
147,79.8
150,15.4
151,82.1
152,222.1
153,79.8
155,150.6
156,150.5
159,116.2
161,135.9
163,45.5
177,152.2
186,31.7
188,15.6
190,91.3
191,74.4
192,282.8
195,342.2
200,157.5
209,323.0
210,30.8
211,224.0
214,208.4
215,54.6
218,127.8
219,35.9
222,134.1
225,21.4
228,347.8
236,199.1
241,38.4
242,201.3
243,166.2
245,22.7
247,249.1
251,136.7
252,111.9
253,79.8
254,98.3
258,289.3
260,71.7
261,132.9
265,86.9
266,293.9
267,343.3
269,164.8
270,71.7
275,127.8
278,67.8
279,92.6
286,102.2
287,29.4
288,198.1
289,139.5
293,24.1
294,197.8
297,50.0
302,102.8
303,135.9
304,98.9
307,124.6
309,20.5
311,154.5
312,179.7
314,198.5
315,198.9
319,131.4
322,108.3
323,48.9
325,154.5
327,225.4
330,43.9
332,183.0
333,15.4
338,116.4
341,100.8
345,233.7
348,122.7
349,62.0
350,99.1
352,53.9
355,19.1
356,190.5
358,79.8
363,127.5
369,128.5
371,21.1
372,154.5
375,314.1
380,132.9
388,37.8
391,155.6
392,277.0
393,326.4
394,159.6
396,29.3
401,48.8
407,80.9
409,82.1
410,104.5
416,108.4
418,111.0
420,120.5
421,190.6
422,129.8
424,277.0
428,315.8
429,246.3
431,208.4
435,17.2
439,124.8
441,31.5
447,79.8
449,159.2
451,155.6
452,29.0
454,220.3
458,246.3
463,127.5
467,29.0
470,295.1
471,147.9
474,293.9
478,33.4
483,99.0
484,152.2
485,79.8
486,126.9
491,120.3
494,92.6
495,249.1
497,210.3
499,198.5
515,124.3
518,200.4
521,151.7
525,154.5
529,246.2
532,118.7
534,82.1
540,96.4
544,343.3
547,201.9
549,36.5
563,56.5
564,155.6
567,103.3
572,126.9
577,124.1
578,241.0
585,302.9
588,159.2
589,132.9
590,99.8
592,31.5
594,290.1
596,30.2
598,302.9
599,122.5
605,81.3
606,126.9
607,251.4
608,198.4
609,48.9
610,267.0
611,103.5
614,166.7
615,216.1
616,249.1
617,143.8
618,257.8
624,97.6
629,132.9
631,79.8
633,145.0
637,43.4
638,127.8
643,71.4
644,157.2
645,62.0
646,218.3
648,190.6
650,41.5
651,99.0
652,235.1
656,136.6
657,31.5
659,87.3
660,206.4
662,120.3
665,312.7
675,359.0
681,139.5
682,259.4
685,13.7
686,154.5
689,43.4
696,131.0
703,166.7
704,104.5
705,202.5
714,223.3
717,113.4
718,33.4
720,64.4
721,246.3
723,218.3
726,101.3
728,127.6
730,133.0
731,54.6
734,341.0
737,82.1
738,15.4
745,198.5
746,62.0
749,219.6
752,43.4
753,108.3
758,219.6
765,31.5
766,240.7
768,82.1
769,224.4
774,158.1
775,98.8
781,69.9
784,343.3
794,42.7
795,263.1
796,79.8
802,210.3
803,133.0
805,56.5
806,289.4
807,104.5
809,20.9
810,224.4
812,154.5
814,102.7
818,243.7
819,155.6
825,73.6
836,123.5
839,131.3
847,241.5
848,150.6
851,128.5
852,136.1
853,73.9
857,154.0
858,67.8
859,237.8
861,32.7
867,126.6
870,242.2
871,200.6
872,224.0
874,282.4
881,159.9
886,132.1
890,73.9
895,133.9
899,79.8
900,256.8
901,233.7
902,206.8
903,54.4
913,233.7
918,189.1
923,211.6
924,62.0
926,26.7
927,17.1
930,241.0
934,37.2
937,166.7
939,211.1
941,99.1
942,302.9
946,293.9
950,104.5
953,84.6
959,94.2
961,28.8
962,158.0
964,168.6
969,230.2
971,119.1
976,50.3
978,233.9
980,225.4
981,174.8
990,302.9
993,20.6
996,22.5
998,305.2
999,166.7
1006,127.9
1008,31.5
1013,32.1
1015,107.4
1016,121.1
1022,332.7
1026,249.1
1028,246.3
1031,96.0
1034,79.8
1037,198.5
1040,79.8
1042,20.6
1046,41.5
1048,104.8
1049,127.8
1050,55.4
1051,155.6
1052,249.1
1055,101.3
1060,129.9
1064,62.0
1066,95.4
1071,119.9
1073,22.7
1089,155.6
1091,124.1
1092,49.2
1093,210.3
1096,344.0
1097,210.3
1098,17.2
1099,67.8
1102,181.9
1107,146.5
1109,116.3
1111,151.7
1112,107.4
1114,342.2
1116,289.4
1117,127.5
1118,147.8
1122,158.8
1124,158.1
1127,102.7
1133,246.3
1134,62.0
1135,237.7
1139,314.1
1143,73.9
1150,111.0
1151,91.6
1153,274.2
1155,43.4
1162,28.0
1163,228.5
1166,31.5
1171,79.8
1172,20.5
1173,220.0
1174,118.7
1177,100.8
1178,267.5
1184,101.3
1185,120.3
1186,109.8
1187,155.6
1188,289.4
1191,131.3
1207,108.6
1213,43.9
1215,132.9
1223,198.5
1227,99.8
1236,73.9
1237,48.9
1238,22.5
1241,43.4
1248,15.4
1250,40.4
1251,123.6
1253,99.0
1255,107.4
1257,224.0
1261,102.7
1262,329.0
1265,162.9
1273,167.2
1277,258.6
1278,127.5
1280,99.7
1284,264.8
1285,358.3
1288,81.3
1295,102.8
1297,265.4
1299,242.1
1304,167.2
1308,62.0
1310,100.9
1311,134.9
1314,147.8
1315,115.3
1318,62.0
1320,305.2
1321,301.7
1322,240.9
1330,140.1
1333,139.5
1334,277.5
1341,184.0
1344,163.6
1351,277.5
1354,96.0
1356,79.8
1363,104.6
1365,221.8
1369,143.8
1373,103.3
1375,119.1
1377,82.1
1379,199.1
1380,293.9
1381,94.0
1384,190.0
1390,224.4
1393,235.7
1395,73.9
1399,313.6
1400,86.9
1401,125.7
1404,131.9
1408,22.7
1409,27.3
1413,237.8
1416,291.6
1418,104.5
1423,158.0
1424,29.3
1425,27.5
1433,198.5
1434,142.6
1436,313.5
1442,248.4
1444,82.1
1445,157.7
1452,159.8
1455,159.5
1462,73.9
1467,118.8
1472,67.8
1475,159.6
1493,133.7
1501,237.1
1503,289.3
1504,246.3
1505,17.2
1511,155.6
1512,73.9
1513,139.6
1514,54.4
1528,198.5
1533,246.3
1534,28.6
1536,166.7
1537,49.2
1539,289.3
1550,221.8
1552,195.9
1554,206.2
1555,318.3
1556,92.6
1559,40.4
1563,232.8
1566,155.6
1567,233.9
1568,43.4
1571,208.4
1572,14.8
1574,55.4
1577,31.5
1583,139.5
1585,24.9
1586,221.2
1587,209.5
1596,126.9
1602,106.2
1604,102.2
1605,43.9
1610,342.2
1611,102.8
1616,116.8
1617,124.4
1618,22.5
1622,39.6
1623,37.3
1628,314.1
1631,16.9
1632,127.4
1633,243.7
1634,359.0
1636,256.8
1637,116.4
1643,124.8
1644,127.8
1646,135.9
1648,202.5
1651,67.8
1656,19.1
1658,131.0
1659,16.7
1665,101.3
1666,129.0
1670,113.0
1674,198.4
1679,224.0
1680,246.3
1683,330.7
1686,28.6
1691,127.8
1693,36.5
1696,116.3
1697,104.5
1703,156.9
1706,29.3
1709,185.8
1710,79.8
1712,219.0
1713,126.9
1718,265.4
1719,166.7
1722,289.4
1723,114.8
1724,258.6
1728,64.4
1730,39.9
1732,26.3
1737,44.9
1745,82.1
1747,31.5
1748,27.5
1755,124.1
1759,29.0
1761,289.4
1764,250.4
1765,127.5
1766,92.6
1768,86.9
1770,26.7
1771,136.6
1774,103.9
1785,154.5
1788,198.5
1792,27.5
1794,232.1
1797,134.9
1798,14.1
1799,240.7
1802,127.9
1806,67.8
1808,67.1
1810,256.8
1818,144.6
1819,282.4
1820,276.2
1822,210.3
1826,246.3
1827,213.7
1835,25.3
1841,94.2
1842,144.2
1843,22.7
1846,39.6
1849,119.2
1850,181.9
1851,104.0
1857,73.9
1858,205.2
1860,93.3
1861,241.5
1864,114.0
1869,344.0
1871,79.8
1872,50.3
1875,20.5
1878,224.0
1879,249.1
1885,90.3
1888,90.0
1889,29.3
1890,100.9
1896,168.4
1897,164.5
1898,131.3
1900,82.1
1905,73.9
1908,124.8
1909,127.8
1913,79.8
1918,103.3
1922,305.2
1923,126.5
1925,263.1
1926,147.7
1927,342.2
1930,206.2
1935,118.7
1939,111.3
1942,95.5
1943,238.1
1948,251.4
1949,264.3
1951,105.2
1953,95.2
1959,127.4
1963,16.9
1967,157.2
1973,293.9
1975,62.0
1976,82.1
1990,91.2
1993,104.5
1997,166.7
1999,119.5
2001,289.3
2004,82.1
2010,107.4
2013,126.5
2017,310.8
2021,142.1
2023,151.7
2026,118.1
2037,54.4
2039,157.1
2041,22.6
2046,21.4
2050,33.0
2060,252.3
2067,104.6
2069,127.5
2072,249.7
2074,154.5
2079,139.6
2083,54.6
2085,154.5
2087,20.6
2093,131.4
2094,26.7
2097,116.8
2103,97.2
2104,73.9
2107,190.6
2108,21.4
2110,91.1
2115,198.5
2117,26.7
2125,359.0
2127,246.3
2133,15.4
2134,302.9
2135,142.8
2141,241.0
2143,50.5
2145,86.9
2146,43.4
2147,289.3
2148,79.8
2149,55.1
2165,103.1
2166,210.3
2177,101.3
