id,count
0,89.29
1,219.61
2,71.95
4,30.93
5,64.92
10,119.92
11,187.56
12,314.84
15,37.6
17,122.5
18,299.97
23,236.12
25,97.02
26,40.05
31,200.99
39,159.69
40,28.01
41,168.5
42,368.25
43,153.35
51,229.43
52,86.99
54,16.07
60,146.82
61,133.54
62,111.69
63,27.24
65,111.97
66,112.13
68,158.96
71,72.09
80,31.24
82,69.65
94,128.95
98,279.69
101,32.76
102,128.26
107,86.19
112,218.13
113,75.55
115,50.05
116,121.3
120,163.99
121,79.34
122,337.69
132,204.77
143,79.61
147,63.56
150,18.7
151,87.34
152,242.29
153,91.61
155,169.5
156,68.86
159,193.33
161,121.75
163,46.49
177,175.17
186,13.75
188,18.95
190,86.15
191,81.98
192,268.36
195,315.48
200,150.7
209,311.07
210,16.03
211,227.81
214,114.43
215,27.37
218,103.0
219,33.83
222,127.03
225,15.14
228,320.03
236,226.69
241,35.77
242,174.0
243,220.65
245,19.08
247,243.77
251,133.35
252,84.46
253,82.33
254,99.1
258,320.25
260,52.87
261,174.98
265,109.33
266,271.96
267,298.66
269,156.03
270,70.19
275,96.78
278,36.46
279,78.88
286,95.91
287,28.51
288,196.99
289,155.02
293,18.19
294,160.75
297,40.32
302,115.0
303,72.03
304,68.57
307,100.4
309,17.43
311,181.99
312,116.02
314,179.71
315,239.34
319,169.29
322,114.45
323,68.38
325,122.87
327,231.24
330,35.44
332,195.59
333,16.8
338,100.92
341,105.2
345,180.0
348,124.27
349,46.98
350,118.82
352,48.96
355,16.18
356,240.26
358,53.87
363,133.91
369,160.31
371,18.61
372,140.35
375,305.76
380,125.58
388,44.8
391,134.03
392,262.73
393,373.69
394,205.93
396,27.94
401,38.03
407,107.54
409,90.17
410,112.95
416,105.31
418,119.02
420,155.32
421,224.5
422,129.02
424,290.27
428,341.47
429,214.62
431,150.22
435,10.97
439,116.13
441,12.13
447,93.61
449,136.29
451,139.07
452,16.21
454,221.04
458,208.72
463,124.58
467,14.24
470,237.99
471,156.75
474,284.11
478,16.8
483,121.59
484,140.76
485,83.0
486,127.72
491,96.36
494,99.25
495,236.09
497,207.91
499,172.59
515,117.71
518,220.77
521,184.86
525,163.35
529,240.07
532,152.57
534,104.75
540,108.54
544,295.83
547,161.51
549,45.39
563,34.4
564,145.51
567,123.05
572,116.03
577,141.28
578,274.61
585,344.82
588,140.05
589,122.47
590,104.48
592,16.34
594,226.93
596,13.97
598,347.12
599,146.42
